topic,score1,score2,score3,score4,score5
23,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 3]","[3, 4, 4, 4, 4]","[3, 5, 4, 4, 4]"
24,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 3, 4]"
25,"[3, 4, 3, 3, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 4, 4]"
26,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 3]"
27,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
28,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 4]","[3, 4, 3, 3, 4]"
29,"[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
30,"[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
31,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 4]"
32,"[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 4, 3, 3]","[2, 4, 3, 4, 4]"
33,"[3, 4, 5, 4, 4]","[2, 5, 4, 4, 4]","[3, 5, 4, 4, 4]","[2, 4, 4, 4, 4]","[4, 5, 5, 5, 5]"
34,"[1, 1, 1, 1, 1]","[1, 2, 2, 1, 2]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 2, 2, 2, 2]"
35,"[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]"
36,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]"
37,"[2, 5, 4, 4, 4]","[3, 5, 4, 5, 4]","[3, 5, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 5, 4, 4, 4]"
38,"[2, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
39,"[3, 5, 5, 5, 5]","[3, 5, 5, 5, 5]","[3, 5, 5, 5, 5]","[3, 5, 5, 5, 5]","[4, 5, 5, 4, 5]"
40,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 3, 4]","[2, 4, 4, 3, 4]"
41,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]"
42,"[2, 4, 3, 3, 3]","[2, 3, 4, 3, 3]","[2, 4, 3, 3, 4]","[2, 3, 4, 3, 3]","[2, 4, 3, 3, 3]"
43,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]"
44,"[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
45,"[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]"
46,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[3, 4, 4, 3, 4]"
47,"[3, 4, 5, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]"
48,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[2, 4, 3, 3, 4]"
49,"[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 3, 4]"
50,"[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]"
