topic,score1,score2,score3,score4,score5
113,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 3, 2, 2]","[1, 2, 1, 2, 2]","[2, 3, 2, 2, 3]"
114,"[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]"
115,"[2, 3, 2, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 2, 3, 3]","[2, 3, 2, 3, 3]"
116,"[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
117,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]"
118,"[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[1, 3, 2, 2, 2]"
119,"[2, 3, 2, 2, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[2, 3, 2, 3, 3]"
120,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]"
121,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]"
122,"[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]"
123,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
124,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
125,"[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
126,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
127,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
128,"[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 3, 3, 3, 3]"
129,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
130,"[3, 4, 4, 4, 4]","[3, 4, 5, 4, 4]","[3, 5, 4, 4, 4]","[3, 5, 4, 5, 4]","[3, 4, 4, 4, 4]"
131,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
132,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]"
133,"[2, 3, 2, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 3, 3, 3]","[1, 3, 2, 3, 3]"
134,"[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[2, 4, 3, 4, 3]","[2, 4, 4, 3, 4]"
135,"[3, 4, 4, 3, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 3]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
136,"[2, 3, 3, 2, 3]","[1, 2, 1, 1, 2]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
137,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
138,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]"
139,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]"
140,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 2, 1, 1, 2]","[1, 1, 1, 1, 1]","[1, 2, 2, 2, 2]"
141,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 3, 3, 3, 3]"
142,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]"
143,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 3, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
144,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 2, 3]","[2, 3, 2, 3, 3]"
145,"[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]"
146,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
147,"[3, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[3, 4, 3, 3, 4]"
148,"[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 3, 4]","[3, 4, 3, 4, 4]"
149,"[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[2, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
150,"[2, 4, 3, 3, 3]","[3, 4, 3, 3, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[2, 4, 3, 3, 3]"
