topic,score1,score2,score3,score4,score5
132006,3,4,3,5,4
133001,3,4,4,3,5
133002,4,3,5,4,4
133003,2,3,2,1,2
133004,2,3,2,1,3
133005,3,4,3,4,3
133006,3,4,3,4,3
134001,3,4,3,4,3
134002,3,4,3,4,3
134003,2,3,2,4,3
134004,2,3,2,3,2
134005,2,3,2,3,2
134006,2,3,2,4,3
135001,3,4,3,4,3
135002,2,3,3,4,3
135003,1,2,1,1,2
135004,1,2,1,1,1
135005,2,3,1,2,2
135006,4,3,4,5,4
136001,3,4,2,3,4
136002,3,4,4,3,4
136003,3,4,3,4,3
136004,3,4,3,4,4
136005,2,3,4,3,2
136006,4,5,4,4,5
137001,3,4,5,4,3
137002,3,4,3,4,3
137003,2,3,3,2,4
137004,2,3,2,3,2
137005,3,4,3,4,3
137006,4,3,5,4,4
138001,4,3,4,5,4
138002,3,4,3,4,3
138003,2,3,2,3,2
138004,2,3,2,3,2
138005,3,4,3,4,3
138006,4,3,4,3,4
139001,2,2,1,3,2
139002,2,2,3,2,3
139003,3,4,3,4,2
139004,3,4,5,3,4
139005,3,4,3,4,3
139006,3,4,4,3,5
140001,3,4,4,3,2
140002,3,4,3,4,3
140003,3,4,2,3,4
140004,2,3,2,4,3
140005,3,4,3,2,4
140006,2,3,3,2,4
141001,2,2,3,3,2
141002,2,3,2,2,3
141003,1,1,1,1,1
141004,2,2,1,2,2
141005,2,1,3,2,2
141006,2,3,2,3,2
142001,3,4,4,2,3
142002,3,4,3,4,3
142003,3,4,2,5,3
142004,4,3,5,4,4
142005,4,3,4,5,3
142006,4,3,4,2,5
143001,3,4,4,3,5
143002,3,4,3,4,3
143003,3,4,3,2,4
143004,3,4,3,4,5
143005,3,4,3,4,3
143006,3,4,2,3,4
144001,2,3,2,3,3
144002,3,4,2,3,3
144003,2,3,2,3,2
144004,2,2,3,2,3
144005,2,3,2,3,2
144006,2,3,3,2,4
145001,2,3,2,3,2
145002,2,3,2,1,2
145003,3,2,3,4,2
145004,1,2,1,2,1
145005,2,3,2,3,2
145006,1,1,2,1,1
146001,2,3,2,3,2
146002,3,4,3,4,3
146003,3,4,3,4,3
146004,1,1,1,1,1
146005,2,3,2,4,3
146006,3,4,3,4,3
147001,2,3,2,3,2
147002,2,3,2,3,3
147003,3,4,2,3,4
147004,2,1,2,1,2
147005,2,3,2,3,2
147006,3,4,3,2,4
148001,4,5,4,5,4
148002,3,4,4,3,5
148003,4,5,3,4,5
148004,4,3,5,4,5
148005,4,5,3,4,5
148006,3,4,5,4,3
149001,3,2,3,4,3
149002,2,3,3,4,2
149003,3,4,3,2,3
149004,2,2,1,3,2
149005,2,3,2,3,2
149006,3,4,3,4,5
150001,2,3,3,2,4
150002,2,3,2,3,2
150003,2,3,3,2,3
150004,4,3,5,4,4
150005,2,3,2,3,2
150006,2,3,2,3,3
